participant_id,age,role,task_type,background_noise_type,noise_volume_level,focus_duration_minutes,perceived_focus_score,task_completion_quality,mental_fatigue_after_task
33,29,Professional,Reading,Traffic Noise,1,116,1,8,7
34,24,Remote Worker,Writing,Traffic Noise,8,98,5,7,9
35,41,Student,Writing,Songs with Lyrics,6,31,3,8,1
36,17,Remote Worker,Coding,Traffic Noise,7,101,1,7,2
37,35,Student,Reading,Instrumental Music,9,38,4,6,9
38,43,Professional,Studying,Songs with Lyrics,5,22,2,7,9
39,22,Remote Worker,Writing,Instrumental Music,1,91,2,5,6
40,23,Student,Reading,Silence,10,11,3,7,6
41,29,Professional,Coding,Instrumental Music,7,38,8,1,4
42,32,Remote Worker,Studying,Silence,5,94,8,1,4
43,19,Remote Worker,Reading,Silence,3,88,7,9,5
44,17,Student,Studying,Instrumental Music,9,61,6,5,3
45,21,Student,Studying,Songs with Lyrics,1,36,9,5,1
46,19,Student,Studying,Traffic Noise,1,59,4,3,1
47,44,Professional,Writing,Traffic Noise,1,104,1,5,7
48,33,Student,Writing,Silence,3,88,8,3,1
49,41,Remote Worker,Coding,Silence,6,32,7,9,1
50,49,Remote Worker,Coding,Songs with Lyrics,10,97,7,9,3
51,25,Student,Reading,Cafe Noise,3,53,3,6,10
52,29,Student,Coding,Instrumental Music,8,86,4,1,4
53,46,Remote Worker,Studying,Silence,10,31,10,7,4
54,30,Professional,Studying,Traffic Noise,2,52,9,7,2
55,23,Student,Writing,Songs with Lyrics,9,46,6,10,1
56,29,Student,Studying,Instrumental Music,3,70,5,10,3
57,38,Remote Worker,Reading,Songs with Lyrics,5,106,3,4,4
58,36,Student,Studying,Instrumental Music,10,65,9,8,3
59,31,Professional,Studying,Instrumental Music,8,12,5,6,8
60,33,Remote Worker,Reading,Silence,2,72,5,4,10
61,39,Student,Coding,Songs with Lyrics,6,28,4,4,1
62,41,Remote Worker,Coding,Songs with Lyrics,5,32,4,2,2
63,40,Student,Reading,Traffic Noise,10,38,1,2,7
64,44,Student,Writing,Traffic Noise,9,39,7,4,4
65,30,Student,Studying,Silence,5,48,9,5,8
66,16,Professional,Reading,Silence,2,117,3,8,3
67,40,Professional,Studying,Cafe Noise,5,120,2,6,6
68,22,Remote Worker,Writing,Traffic Noise,4,34,3,4,9
69,24,Student,Studying,Instrumental Music,7,110,1,7,1
70,39,Student,Reading,Songs with Lyrics,6,120,6,8,1
71,16,Professional,Studying,Silence,2,17,7,2,8
72,23,Student,Coding,Songs with Lyrics,5,115,2,7,3
73,39,Professional,Writing,Songs with Lyrics,7,67,8,2,5
74,26,Student,Writing,Cafe Noise,7,25,6,2,1
75,32,Remote Worker,Writing,Traffic Noise,5,81,4,8,5
76,23,Student,Reading,Silence,9,10,5,2,6
77,48,Student,Writing,Songs with Lyrics,4,117,8,9,8
78,20,Professional,Coding,Silence,3,14,3,1,3
79,43,Student,Reading,Instrumental Music,4,12,3,9,3
80,22,Student,Coding,Cafe Noise,5,74,4,1,10
81,24,Professional,Studying,Instrumental Music,6,13,1,10,9
82,23,Remote Worker,Studying,Silence,3,113,9,10,4
83,27,Remote Worker,Studying,Silence,2,108,8,2,4
84,49,Professional,Studying,Traffic Noise,4,105,8,6,7
85,48,Professional,Coding,Songs with Lyrics,5,73,10,6,2
86,38,Professional,Reading,Songs with Lyrics,4,115,6,1,8
87,39,Professional,Reading,Instrumental Music,3,107,7,7,6
88,37,Professional,Writing,Cafe Noise,8,116,6,8,3
89,42,Remote Worker,Coding,Songs with Lyrics,10,98,9,2,9
90,16,Remote Worker,Studying,Traffic Noise,4,19,3,8,5
91,29,Professional,Coding,Instrumental Music,2,30,3,9,8
92,18,Student,Writing,Instrumental Music,2,55,3,6,7
93,16,Professional,Writing,Traffic Noise,1,112,10,5,8
94,20,Student,Coding,Cafe Noise,4,100,3,9,7
95,41,Professional,Coding,Traffic Noise,10,36,9,9,3
96,29,Professional,Coding,Cafe Noise,9,75,4,1,2
97,42,Remote Worker,Reading,Traffic Noise,7,50,7,3,7
98,24,Student,Studying,Traffic Noise,10,22,9,9,3
99,30,Student,Coding,Silence,7,18,7,2,3
100,30,Remote Worker,Coding,Instrumental Music,7,45,9,4,2
101,41,Remote Worker,Coding,Traffic Noise,8,95,3,4,4
102,28,Remote Worker,Writing,Traffic Noise,1,115,4,2,8
103,47,Remote Worker,Writing,Songs with Lyrics,10,99,8,3,1
104,47,Student,Reading,Instrumental Music,10,67,6,3,1
105,19,Student,Studying,Songs with Lyrics,8,63,5,1,5
106,45,Professional,Reading,Instrumental Music,4,21,4,6,5
107,38,Professional,Studying,Songs with Lyrics,4,90,8,8,1
108,30,Remote Worker,Writing,Traffic Noise,4,87,1,3,6
109,44,Remote Worker,Writing,Traffic Noise,6,23,9,5,1
110,28,Remote Worker,Writing,Silence,7,43,1,1,5
111,47,Professional,Reading,Songs with Lyrics,6,62,8,10,9
112,22,Professional,Coding,Cafe Noise,1,29,4,7,5
113,37,Professional,Coding,Silence,8,84,9,10,6
114,43,Professional,Writing,Songs with Lyrics,10,25,5,1,8
115,17,Professional,Coding,Songs with Lyrics,7,104,3,9,1
116,21,Professional,Coding,Silence,6,79,9,8,2
117,43,Professional,Reading,Traffic Noise,6,65,9,7,9
118,43,Remote Worker,Studying,Songs with Lyrics,5,92,4,10,3
119,35,Remote Worker,Writing,Traffic Noise,6,110,4,7,6
120,45,Remote Worker,Writing,Silence,9,67,8,5,5
121,26,Remote Worker,Reading,Traffic Noise,10,13,2,5,2
122,43,Professional,Reading,Instrumental Music,9,120,9,5,7
123,40,Student,Coding,Cafe Noise,10,13,6,1,4
124,48,Professional,Writing,Songs with Lyrics,8,29,9,8,1
125,16,Student,Studying,Cafe Noise,10,19,8,1,4
126,42,Remote Worker,Reading,Traffic Noise,9,33,7,4,6
127,28,Professional,Studying,Songs with Lyrics,10,108,1,9,7
128,18,Remote Worker,Studying,Traffic Noise,8,35,3,9,7
129,21,Professional,Writing,Instrumental Music,8,46,2,5,7
130,23,Remote Worker,Writing,Silence,1,111,5,4,3
131,42,Student,Reading,Songs with Lyrics,10,94,5,3,6
132,24,Student,Writing,Instrumental Music,5,63,5,3,8
133,48,Student,Writing,Instrumental Music,4,113,4,5,4
134,39,Professional,Writing,Songs with Lyrics,2,112,5,10,8
135,30,Student,Studying,Traffic Noise,8,30,3,1,2
136,47,Professional,Reading,Instrumental Music,3,83,1,5,10
137,47,Student,Coding,Cafe Noise,4,47,5,6,9
138,39,Student,Studying,Instrumental Music,7,55,9,7,9
139,27,Professional,Writing,Traffic Noise,10,13,9,9,8
140,17,Professional,Studying,Traffic Noise,9,69,4,3,10
141,18,Student,Writing,Cafe Noise,2,66,3,2,10
142,32,Professional,Writing,Instrumental Music,3,54,1,3,1
143,17,Student,Studying,Traffic Noise,4,29,2,9,2
144,17,Professional,Reading,Songs with Lyrics,10,26,8,7,6
145,43,Remote Worker,Writing,Silence,1,80,1,9,10
146,38,Remote Worker,Reading,Silence,7,13,8,2,5
147,47,Remote Worker,Coding,Silence,2,102,7,5,9
148,48,Remote Worker,Writing,Instrumental Music,5,23,8,4,5
149,16,Remote Worker,Reading,Cafe Noise,1,12,6,2,2
150,34,Student,Reading,Traffic Noise,3,97,9,9,10
151,17,Remote Worker,Coding,Songs with Lyrics,2,110,3,9,4
152,41,Remote Worker,Reading,Songs with Lyrics,1,89,10,6,9
153,47,Remote Worker,Reading,Instrumental Music,7,67,4,6,1
154,21,Remote Worker,Coding,Silence,5,64,6,8,1
155,47,Professional,Writing,Instrumental Music,1,13,8,6,7
156,19,Student,Reading,Cafe Noise,6,33,5,1,3
157,26,Remote Worker,Reading,Cafe Noise,5,43,3,4,10
158,32,Remote Worker,Reading,Traffic Noise,3,39,6,7,2
159,39,Remote Worker,Studying,Traffic Noise,7,91,4,2,9
160,20,Student,Coding,Cafe Noise,10,28,9,9,3
161,49,Professional,Studying,Cafe Noise,9,40,3,8,2
162,21,Student,Coding,Cafe Noise,9,69,4,8,8
163,37,Professional,Writing,Instrumental Music,9,69,7,7,10
164,26,Remote Worker,Writing,Cafe Noise,2,28,7,4,6
165,31,Remote Worker,Reading,Songs with Lyrics,3,58,4,2,6
166,48,Student,Coding,Silence,7,72,6,3,10
167,24,Student,Writing,Cafe Noise,5,119,3,6,7
168,21,Professional,Coding,Silence,2,92,6,5,7
169,31,Professional,Writing,Instrumental Music,3,31,2,8,6
170,44,Student,Studying,Silence,10,33,8,6,4
171,18,Professional,Writing,Instrumental Music,6,118,2,6,9
172,35,Student,Studying,Songs with Lyrics,7,85,7,1,6
173,34,Professional,Writing,Instrumental Music,9,39,9,4,4
174,41,Student,Reading,Instrumental Music,1,67,1,5,3
175,18,Student,Studying,Traffic Noise,7,111,8,3,4
176,34,Student,Writing,Cafe Noise,8,40,7,9,3
177,35,Professional,Reading,Cafe Noise,3,109,6,1,2
178,47,Professional,Studying,Songs with Lyrics,4,73,6,6,5
179,22,Professional,Reading,Songs with Lyrics,10,28,6,6,2
180,48,Student,Coding,Cafe Noise,6,57,9,10,6
181,33,Professional,Coding,Traffic Noise,10,54,2,5,3
182,16,Professional,Studying,Cafe Noise,7,109,1,5,6
183,26,Student,Writing,Traffic Noise,4,103,6,10,10
184,43,Remote Worker,Studying,Songs with Lyrics,8,64,10,5,9
185,40,Student,Reading,Silence,5,64,8,6,1
186,38,Professional,Writing,Songs with Lyrics,1,106,3,8,6
187,46,Student,Coding,Songs with Lyrics,4,27,10,2,9
188,45,Remote Worker,Writing,Instrumental Music,3,72,1,6,4
189,22,Student,Coding,Instrumental Music,9,101,9,1,2
190,31,Professional,Writing,Instrumental Music,8,56,1,4,4
191,41,Remote Worker,Writing,Instrumental Music,1,84,3,10,1
192,17,Professional,Writing,Traffic Noise,6,66,8,3,3
193,16,Remote Worker,Reading,Cafe Noise,9,54,3,9,10
194,27,Remote Worker,Reading,Silence,7,42,4,3,9
195,20,Student,Studying,Songs with Lyrics,4,26,8,6,10
196,47,Student,Studying,Traffic Noise,1,79,1,1,5
197,24,Professional,Coding,Silence,2,13,6,6,6
198,34,Student,Reading,Traffic Noise,5,29,1,4,3
199,31,Student,Coding,Traffic Noise,5,56,1,8,5
200,18,Remote Worker,Studying,Songs with Lyrics,8,100,8,9,8
201,35,Student,Coding,Cafe Noise,6,24,4,4,6
202,39,Remote Worker,Studying,Instrumental Music,8,79,1,10,4
203,48,Remote Worker,Reading,Cafe Noise,2,56,10,10,2
204,39,Remote Worker,Writing,Songs with Lyrics,3,87,7,6,9
205,26,Professional,Reading,Songs with Lyrics,6,84,5,1,1
206,23,Professional,Coding,Songs with Lyrics,10,112,5,4,1
207,35,Professional,Coding,Silence,3,18,1,7,4
208,40,Remote Worker,Reading,Cafe Noise,6,99,10,1,7
209,40,Professional,Reading,Cafe Noise,6,25,6,8,1
210,44,Professional,Studying,Traffic Noise,2,78,9,10,9
211,33,Student,Coding,Traffic Noise,7,70,9,6,4
212,33,Professional,Coding,Traffic Noise,2,19,8,5,3
213,17,Professional,Reading,Songs with Lyrics,6,59,5,10,1
214,31,Remote Worker,Writing,Cafe Noise,1,12,1,9,10
215,48,Remote Worker,Coding,Songs with Lyrics,3,86,9,2,4
216,19,Remote Worker,Writing,Silence,2,116,1,5,9
217,48,Remote Worker,Reading,Traffic Noise,7,103,8,6,10
218,29,Remote Worker,Reading,Songs with Lyrics,4,118,5,7,6
219,36,Remote Worker,Studying,Songs with Lyrics,8,79,3,5,6
220,35,Professional,Coding,Silence,6,90,7,9,1
221,23,Remote Worker,Writing,Instrumental Music,10,118,7,1,10
222,22,Remote Worker,Studying,Cafe Noise,4,60,9,7,2
223,18,Student,Coding,Instrumental Music,5,28,7,10,6
224,32,Professional,Studying,Traffic Noise,9,51,3,7,2
225,48,Professional,Reading,Songs with Lyrics,7,44,1,4,3
226,27,Professional,Coding,Silence,10,55,8,9,4
227,37,Remote Worker,Studying,Silence,9,35,3,5,5
228,37,Remote Worker,Studying,Cafe Noise,7,78,8,4,9
229,45,Remote Worker,Writing,Instrumental Music,1,102,8,7,4
230,23,Student,Studying,Cafe Noise,8,73,5,4,9
231,42,Remote Worker,Coding,Songs with Lyrics,4,46,1,3,10
232,42,Student,Coding,Cafe Noise,3,93,10,9,3
233,49,Professional,Writing,Silence,7,58,7,8,8
234,36,Remote Worker,Coding,Silence,3,30,10,1,1
235,45,Student,Reading,Traffic Noise,8,83,5,7,9
236,48,Student,Coding,Traffic Noise,6,73,8,9,9
237,43,Remote Worker,Coding,Songs with Lyrics,5,14,9,8,10
238,48,Professional,Studying,Instrumental Music,4,109,7,8,2
239,20,Professional,Studying,Cafe Noise,8,79,7,6,4
240,34,Professional,Coding,Songs with Lyrics,8,99,1,4,8
241,19,Student,Writing,Traffic Noise,1,13,4,8,7
242,32,Student,Studying,Cafe Noise,9,112,2,3,1
243,43,Student,Writing,Traffic Noise,5,48,2,9,5
244,45,Student,Coding,Cafe Noise,4,44,2,2,7
245,44,Professional,Coding,Instrumental Music,6,10,4,2,4
246,21,Remote Worker,Reading,Songs with Lyrics,6,33,1,7,1
247,39,Student,Studying,Cafe Noise,2,66,4,10,9
248,44,Student,Coding,Silence,8,109,2,4,5
249,46,Professional,Reading,Silence,7,79,5,10,2
250,48,Remote Worker,Studying,Cafe Noise,1,50,3,8,8
251,36,Remote Worker,Coding,Cafe Noise,5,63,8,9,2
252,47,Professional,Coding,Cafe Noise,6,55,4,7,3
253,38,Professional,Studying,Silence,4,69,1,5,10
254,48,Remote Worker,Studying,Silence,2,117,1,8,1
255,18,Student,Studying,Cafe Noise,4,69,10,4,2
256,33,Remote Worker,Coding,Traffic Noise,1,66,3,2,7
257,40,Professional,Coding,Traffic Noise,7,40,9,6,10
258,46,Student,Reading,Instrumental Music,2,93,7,9,2
259,18,Student,Writing,Songs with Lyrics,2,33,2,1,6
260,39,Professional,Studying,Traffic Noise,9,98,9,10,3
261,47,Professional,Coding,Silence,5,45,10,7,4
262,37,Professional,Coding,Traffic Noise,2,94,2,10,8
263,38,Remote Worker,Studying,Instrumental Music,9,39,3,9,3
264,17,Remote Worker,Writing,Instrumental Music,9,33,10,10,10
265,42,Student,Studying,Songs with Lyrics,1,117,2,9,6
266,17,Professional,Writing,Traffic Noise,3,115,3,10,1
267,41,Student,Coding,Silence,4,39,6,3,7
268,32,Student,Writing,Silence,7,95,9,5,8
269,48,Student,Reading,Cafe Noise,10,101,9,8,8
270,24,Student,Coding,Silence,4,16,7,8,3
271,44,Professional,Reading,Songs with Lyrics,2,44,3,4,10
272,41,Student,Studying,Songs with Lyrics,7,64,4,1,1
273,40,Professional,Studying,Silence,6,101,6,1,9
274,39,Professional,Studying,Silence,3,23,5,4,6
275,28,Remote Worker,Writing,Cafe Noise,6,19,2,6,9
276,22,Professional,Coding,Silence,6,89,6,8,7
277,35,Remote Worker,Studying,Cafe Noise,5,25,3,6,1
278,16,Professional,Studying,Cafe Noise,4,63,8,9,1
279,23,Professional,Coding,Silence,10,104,2,9,6
280,31,Professional,Studying,Instrumental Music,1,115,1,2,5
281,29,Remote Worker,Reading,Instrumental Music,10,98,9,10,9
282,27,Remote Worker,Coding,Cafe Noise,6,86,3,1,2
283,38,Student,Coding,Silence,2,79,1,2,8
284,30,Remote Worker,Coding,Instrumental Music,3,53,7,5,5
285,43,Remote Worker,Reading,Silence,8,82,10,4,2
286,49,Remote Worker,Coding,Silence,10,54,5,4,10
287,17,Remote Worker,Reading,Silence,6,109,5,9,6
288,47,Student,Coding,Traffic Noise,3,65,1,8,10
289,38,Remote Worker,Writing,Silence,7,116,9,6,8
290,37,Professional,Studying,Traffic Noise,4,93,7,1,4
291,40,Professional,Writing,Cafe Noise,9,91,8,2,2
292,37,Remote Worker,Studying,Instrumental Music,5,116,9,6,5
293,37,Remote Worker,Reading,Instrumental Music,3,66,6,2,2
294,21,Professional,Writing,Instrumental Music,2,30,5,10,2
295,30,Professional,Coding,Instrumental Music,2,77,6,5,6
296,48,Student,Studying,Instrumental Music,3,59,2,5,10
297,23,Professional,Studying,Instrumental Music,2,42,4,6,9
298,20,Professional,Writing,Instrumental Music,4,100,3,6,4
299,19,Remote Worker,Reading,Cafe Noise,2,16,7,6,6
300,21,Professional,Writing,Silence,10,79,9,2,7
301,47,Student,Reading,Songs with Lyrics,9,24,5,10,6
302,45,Professional,Reading,Traffic Noise,2,91,6,3,8
303,31,Remote Worker,Studying,Songs with Lyrics,9,41,10,6,4
304,28,Remote Worker,Writing,Songs with Lyrics,6,84,2,8,1
305,45,Professional,Writing,Silence,1,29,3,1,7
306,34,Remote Worker,Reading,Silence,4,97,3,1,3
307,32,Student,Writing,Silence,1,24,9,2,6
308,34,Student,Coding,Instrumental Music,6,57,7,6,2
309,43,Professional,Coding,Cafe Noise,4,80,8,9,9
310,41,Professional,Writing,Instrumental Music,3,30,10,4,1
311,41,Professional,Writing,Cafe Noise,3,51,9,3,6
312,38,Remote Worker,Reading,Cafe Noise,9,35,6,8,6
313,24,Student,Coding,Songs with Lyrics,6,117,4,10,5
314,27,Student,Coding,Songs with Lyrics,9,23,1,9,5
315,16,Remote Worker,Studying,Cafe Noise,5,66,8,5,1
316,16,Student,Reading,Cafe Noise,2,46,7,9,10
317,49,Professional,Studying,Instrumental Music,8,67,2,2,5
318,47,Professional,Coding,Instrumental Music,5,30,8,3,2
319,40,Professional,Reading,Songs with Lyrics,2,91,5,7,7
320,16,Student,Writing,Silence,4,78,7,7,3
321,31,Professional,Reading,Cafe Noise,9,12,4,6,4
322,20,Remote Worker,Writing,Instrumental Music,4,96,5,6,3
323,37,Remote Worker,Writing,Songs with Lyrics,4,99,8,2,3
324,44,Student,Reading,Instrumental Music,2,46,1,10,4
325,18,Remote Worker,Writing,Cafe Noise,6,97,1,6,5
326,27,Remote Worker,Studying,Cafe Noise,2,58,4,4,1
327,41,Student,Coding,Traffic Noise,7,28,3,3,4
328,31,Professional,Writing,Silence,3,98,10,2,8
329,37,Professional,Studying,Traffic Noise,3,94,2,1,10
330,44,Professional,Writing,Songs with Lyrics,5,21,3,5,7
331,29,Student,Coding,Instrumental Music,3,70,1,2,9
332,43,Remote Worker,Studying,Songs with Lyrics,2,50,1,2,5
333,20,Professional,Coding,Cafe Noise,10,42,6,7,10
334,45,Professional,Coding,Traffic Noise,9,59,5,8,4
335,20,Student,Studying,Traffic Noise,2,77,8,10,8
336,27,Professional,Studying,Traffic Noise,2,115,2,8,9
337,31,Student,Studying,Songs with Lyrics,8,80,4,4,7
338,41,Remote Worker,Reading,Cafe Noise,9,95,8,1,7
339,41,Student,Studying,Instrumental Music,7,42,6,7,5
340,36,Student,Studying,Instrumental Music,3,90,1,1,4
341,48,Student,Studying,Songs with Lyrics,9,33,4,4,10
342,45,Student,Studying,Traffic Noise,3,70,1,8,1
343,38,Remote Worker,Writing,Silence,5,70,2,2,10
344,25,Remote Worker,Reading,Songs with Lyrics,9,107,5,6,10
345,20,Professional,Coding,Songs with Lyrics,3,37,8,6,7
346,49,Remote Worker,Studying,Cafe Noise,7,67,8,9,1
347,46,Remote Worker,Writing,Instrumental Music,1,52,3,5,1
348,25,Professional,Writing,Songs with Lyrics,4,50,4,10,5
349,34,Remote Worker,Writing,Songs with Lyrics,4,48,10,4,9
350,47,Student,Coding,Traffic Noise,7,95,6,5,6
351,16,Student,Studying,Traffic Noise,8,58,10,10,3
352,20,Professional,Reading,Silence,1,26,3,5,3
353,19,Professional,Reading,Cafe Noise,5,107,2,8,7
354,31,Professional,Writing,Silence,7,79,6,10,6
355,39,Student,Coding,Traffic Noise,4,119,5,8,9
356,31,Remote Worker,Coding,Instrumental Music,4,79,10,2,6
357,17,Student,Coding,Traffic Noise,4,107,5,7,5
358,43,Professional,Reading,Cafe Noise,6,74,10,8,10
359,47,Remote Worker,Writing,Traffic Noise,7,83,5,6,7
360,42,Remote Worker,Studying,Cafe Noise,2,94,10,5,1
361,35,Student,Reading,Cafe Noise,5,14,5,9,7
362,39,Professional,Writing,Cafe Noise,4,11,3,3,3
363,27,Student,Writing,Cafe Noise,3,31,7,10,9
364,48,Remote Worker,Studying,Cafe Noise,7,66,6,4,6
365,48,Student,Studying,Instrumental Music,6,75,4,9,9
366,27,Student,Studying,Silence,7,83,2,6,5
367,18,Professional,Coding,Songs with Lyrics,5,107,9,8,7
368,16,Professional,Studying,Silence,6,25,1,7,4
369,48,Remote Worker,Writing,Cafe Noise,5,60,4,2,7
370,25,Student,Studying,Instrumental Music,7,48,1,3,1
371,44,Student,Writing,Traffic Noise,2,95,6,1,7
372,28,Student,Reading,Instrumental Music,5,85,4,9,8
373,27,Remote Worker,Coding,Cafe Noise,6,97,5,7,5
374,46,Remote Worker,Reading,Instrumental Music,6,120,5,1,2
375,17,Professional,Reading,Instrumental Music,5,49,9,3,5
376,38,Professional,Writing,Cafe Noise,10,47,1,4,6
377,32,Professional,Reading,Instrumental Music,7,69,2,4,2
378,41,Student,Writing,Songs with Lyrics,10,68,6,5,6
379,23,Student,Studying,Songs with Lyrics,8,19,5,3,6
380,44,Professional,Studying,Instrumental Music,7,108,7,3,1
381,41,Student,Writing,Traffic Noise,5,73,3,1,1
382,25,Professional,Studying,Cafe Noise,1,72,3,7,10
383,41,Remote Worker,Coding,Songs with Lyrics,5,58,10,10,3
384,49,Professional,Reading,Traffic Noise,10,73,2,1,10
385,22,Remote Worker,Coding,Instrumental Music,2,41,3,2,10
386,19,Student,Reading,Traffic Noise,5,16,10,4,3
387,26,Professional,Studying,Silence,5,30,1,4,4
388,44,Student,Coding,Songs with Lyrics,2,29,5,5,2
389,40,Remote Worker,Studying,Instrumental Music,5,35,5,2,9
390,36,Remote Worker,Reading,Cafe Noise,4,77,7,4,10
391,25,Remote Worker,Writing,Instrumental Music,1,119,4,1,7
392,24,Student,Writing,Cafe Noise,3,95,3,2,7
393,39,Student,Coding,Instrumental Music,1,24,1,1,6
394,33,Student,Studying,Traffic Noise,5,113,8,10,3
395,47,Student,Studying,Traffic Noise,4,94,3,10,6
396,39,Remote Worker,Coding,Traffic Noise,7,88,2,4,8
397,38,Remote Worker,Writing,Silence,5,95,4,4,8
398,47,Professional,Reading,Cafe Noise,10,101,3,7,9
399,27,Professional,Coding,Traffic Noise,4,23,1,10,1
400,28,Student,Reading,Silence,2,36,3,9,1
401,38,Remote Worker,Writing,Cafe Noise,4,114,2,9,3
402,40,Remote Worker,Studying,Instrumental Music,2,49,8,5,3
403,45,Remote Worker,Writing,Silence,8,67,6,10,10
404,32,Professional,Coding,Songs with Lyrics,3,37,9,1,8
405,35,Professional,Studying,Silence,9,35,8,1,10
406,40,Remote Worker,Coding,Silence,4,72,10,6,1
407,37,Remote Worker,Coding,Cafe Noise,6,75,3,2,2
408,28,Remote Worker,Writing,Instrumental Music,10,34,5,8,2
409,34,Professional,Coding,Songs with Lyrics,5,12,7,9,3
410,27,Remote Worker,Writing,Traffic Noise,10,81,5,4,6
411,34,Remote Worker,Studying,Traffic Noise,1,53,8,5,1
412,27,Student,Writing,Silence,9,106,5,8,2
413,24,Student,Studying,Cafe Noise,1,51,1,3,1
414,22,Professional,Writing,Cafe Noise,8,108,5,5,5
415,43,Remote Worker,Reading,Traffic Noise,9,15,4,3,7
416,29,Remote Worker,Reading,Songs with Lyrics,9,48,6,10,8
417,46,Student,Coding,Instrumental Music,1,61,3,3,10
418,34,Professional,Writing,Songs with Lyrics,2,32,5,3,1
419,31,Student,Writing,Instrumental Music,1,98,2,7,7
420,20,Student,Studying,Traffic Noise,10,59,6,7,5
421,27,Student,Coding,Instrumental Music,2,52,6,7,10
422,40,Student,Writing,Cafe Noise,10,28,5,10,1
423,36,Remote Worker,Coding,Silence,8,78,6,8,3
424,38,Remote Worker,Reading,Silence,5,60,7,5,7
425,31,Student,Writing,Traffic Noise,7,20,5,5,10
426,29,Professional,Writing,Cafe Noise,2,21,1,4,1
427,46,Professional,Coding,Songs with Lyrics,8,83,8,7,7
428,20,Professional,Writing,Cafe Noise,6,17,4,10,5
429,38,Professional,Coding,Silence,8,33,9,4,1
430,44,Student,Writing,Silence,1,101,10,2,1
431,26,Remote Worker,Studying,Cafe Noise,1,50,6,4,1
432,33,Professional,Coding,Cafe Noise,7,45,1,8,9
433,27,Student,Writing,Silence,8,110,3,9,3
434,24,Professional,Reading,Songs with Lyrics,3,94,3,3,5
435,25,Professional,Writing,Traffic Noise,5,81,10,7,10
436,32,Student,Reading,Traffic Noise,1,64,4,9,9
437,22,Remote Worker,Reading,Cafe Noise,7,18,6,4,6
438,28,Remote Worker,Studying,Traffic Noise,5,56,7,10,9
439,24,Student,Coding,Silence,8,24,10,3,8
440,42,Remote Worker,Writing,Silence,8,57,4,5,8
441,17,Student,Studying,Cafe Noise,9,119,6,1,1
442,20,Student,Writing,Cafe Noise,7,113,1,3,9
443,44,Student,Reading,Cafe Noise,1,91,8,8,6
444,34,Remote Worker,Coding,Songs with Lyrics,3,51,7,8,9
445,23,Student,Writing,Traffic Noise,8,69,9,4,3
446,16,Professional,Writing,Cafe Noise,3,93,3,2,3
447,37,Remote Worker,Reading,Instrumental Music,8,79,2,8,6
448,32,Remote Worker,Writing,Instrumental Music,1,21,1,8,9
449,22,Remote Worker,Writing,Silence,5,11,3,10,7
450,40,Remote Worker,Reading,Traffic Noise,4,16,5,4,3
451,19,Professional,Studying,Cafe Noise,5,89,2,3,3
452,21,Remote Worker,Reading,Instrumental Music,8,12,3,2,2
453,46,Remote Worker,Studying,Traffic Noise,10,118,4,9,9
454,34,Student,Coding,Silence,4,12,7,1,3
455,42,Remote Worker,Studying,Songs with Lyrics,4,36,3,7,5
456,25,Professional,Studying,Traffic Noise,3,116,9,5,9
457,41,Professional,Coding,Traffic Noise,7,49,8,8,8
458,34,Professional,Studying,Songs with Lyrics,3,111,4,4,2
